UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_r	tib_ant_r
    222.00000000	      4.44000000	      0.04152270	      0.07245851
    223.00000000	      4.46000000	      0.04449248	      0.06895127
    224.00000000	      4.48000000	      0.04736591	      0.06554527
    225.00000000	      4.50000000	      0.05006947	      0.06232862
    226.00000000	      4.52000000	      0.05249537	      0.05938268
    227.00000000	      4.54000000	      0.05461246	      0.05677745
    228.00000000	      4.56000000	      0.05638279	      0.05456798
    229.00000000	      4.58000000	      0.05778580	      0.05279285
    230.00000000	      4.60000000	      0.05881507	      0.05147505
    231.00000000	      4.62000000	      0.05947278	      0.05062542
    232.00000000	      4.64000000	      0.05976390	      0.05024736
    233.00000000	      4.66000000	      0.05969161	      0.05034135
    234.00000000	      4.68000000	      0.05925506	      0.05090735
    235.00000000	      4.70000000	      0.05844995	      0.05194413
    236.00000000	      4.72000000	      0.05727176	      0.05344593
    237.00000000	      4.74000000	      0.05572102	      0.05539760
    238.00000000	      4.76000000	      0.05380921	      0.05777022
    239.00000000	      4.78000000	      0.05156358	      0.06051863
    240.00000000	      4.80000000	      0.04901483	      0.06358149
    241.00000000	      4.82000000	      0.04623847	      0.06688378
    242.00000000	      4.84000000	      0.04331664	      0.07034086
    243.00000000	      4.86000000	      0.04033235	      0.07386333
    244.00000000	      4.88000000	      0.03737394	      0.07736196
    245.00000000	      4.90000000	      0.03453168	      0.08075223
    246.00000000	      4.92000000	      0.03189327	      0.08395800
    247.00000000	      4.94000000	      0.02953716	      0.08691429
    248.00000000	      4.96000000	      0.02752370	      0.08956880
    249.00000000	      4.98000000	      0.02588612	      0.09188222
    250.00000000	      5.00000000	      0.02462534	      0.09382737
    251.00000000	      5.02000000	      0.02371299	      0.09538738
    252.00000000	      5.04000000	      0.02310889	      0.09655325
    253.00000000	      5.06000000	      0.02275285	      0.09732118
    254.00000000	      5.08000000	      0.02259416	      0.09769015
    255.00000000	      5.10000000	      0.02260676	      0.09766014
    256.00000000	      5.12000000	      0.02279281	      0.09723114
    257.00000000	      5.14000000	      0.02318241	      0.09640323
    258.00000000	      5.16000000	      0.02382936	      0.09517773
    259.00000000	      5.18000000	      0.02479179	      0.09355903
    260.00000000	      5.20000000	      0.02610805	      0.09155718
    261.00000000	      5.22000000	      0.02780305	      0.08919043
    262.00000000	      5.24000000	      0.02987093	      0.08648769
    263.00000000	      5.26000000	      0.03227392	      0.08349021
    264.00000000	      5.28000000	      0.03494834	      0.08025223
    265.00000000	      5.30000000	      0.03781380	      0.07684055
    266.00000000	      5.32000000	      0.04078186	      0.07333277
    267.00000000	      5.34000000	      0.04376231	      0.06981438
    268.00000000	      5.36000000	      0.04666738	      0.06637493
    269.00000000	      5.38000000	      0.04941517	      0.06310343
    270.00000000	      5.40000000	      0.05192118	      0.06008338
    271.00000000	      5.42000000	      0.05411903	      0.05738797
    272.00000000	      5.44000000	      0.05597783	      0.05507620
    273.00000000	      5.46000000	      0.05747292	      0.05319074
    274.00000000	      5.48000000	      0.05859483	      0.05175821
    275.00000000	      5.50000000	      0.05934416	      0.05079205
    276.00000000	      5.52000000	      0.05972570	      0.05029704
    277.00000000	      5.54000000	      0.05974337	      0.05027407
    278.00000000	      5.56000000	      0.05939738	      0.05072313
    279.00000000	      5.58000000	      0.05868408	      0.05164355
    280.00000000	      5.60000000	      0.05759858	      0.05303108
    281.00000000	      5.62000000	      0.05613961	      0.05487338
    282.00000000	      5.64000000	      0.05431540	      0.05714526
    283.00000000	      5.66000000	      0.05214898	      0.05980566
    284.00000000	      5.68000000	      0.04967145	      0.06279713
    285.00000000	      5.70000000	      0.04694303	      0.06604769
    286.00000000	      5.72000000	      0.04404979	      0.06947464
    287.00000000	      5.74000000	      0.04107289	      0.07298931
    288.00000000	      5.76000000	      0.03809967	      0.07650198
    289.00000000	      5.78000000	      0.03522026	      0.07992658
    290.00000000	      5.80000000	      0.03252353	      0.08318459
    291.00000000	      5.82000000	      0.03009098	      0.08620808
    292.00000000	      5.84000000	      0.02798834	      0.08894153
    293.00000000	      5.86000000	      0.02625625	      0.09134244
    294.00000000	      5.88000000	      0.02490377	      0.09338077
    295.00000000	      5.90000000	      0.02390863	      0.09503732
    296.00000000	      5.92000000	      0.02323306	      0.09630136
    297.00000000	      5.94000000	      0.02282108	      0.09716806
    298.00000000	      5.96000000	      0.02261698	      0.09763591
    299.00000000	      5.98000000	      0.02258805	      0.09770476
    300.00000000	      6.00000000	      0.02272936	      0.09737463
    301.00000000	      6.02000000	      0.02306430	      0.09664552
    302.00000000	      6.04000000	      0.02364150	      0.09551828
    303.00000000	      6.06000000	      0.02452186	      0.09399634
    304.00000000	      6.08000000	      0.02574709	      0.09208809
    305.00000000	      6.10000000	      0.02734751	      0.08980951
    306.00000000	      6.12000000	      0.02932533	      0.08718668
    307.00000000	      6.14000000	      0.03165037	      0.08425768
    308.00000000	      6.16000000	      0.03426453	      0.08107354
    309.00000000	      6.18000000	      0.03709071	      0.07769805
    310.00000000	      6.20000000	      0.04004178	      0.07420636
    311.00000000	      6.22000000	      0.04302749	      0.07068233
    312.00000000	      6.24000000	      0.04595916	      0.06721493
    313.00000000	      6.26000000	      0.04875311	      0.06389373
    314.00000000	      6.28000000	      0.05132868	      0.06080408
    315.00000000	      6.30000000	      0.05360469	      0.05802212
    316.00000000	      6.32000000	      0.05555047	      0.05561067
    317.00000000	      6.34000000	      0.05713709	      0.05361650
    318.00000000	      6.36000000	      0.05835169	      0.05207005
    319.00000000	      6.38000000	      0.05919296	      0.05098763
    320.00000000	      6.40000000	      0.05966517	      0.05037571
    321.00000000	      6.42000000	      0.05977281	      0.05023577
    322.00000000	      6.44000000	      0.05951715	      0.05056788
    323.00000000	      6.46000000	      0.05889534	      0.05137168
    324.00000000	      6.48000000	      0.05790242	      0.05264422
    325.00000000	      6.50000000	      0.05653569	      0.05437562
    326.00000000	      6.52000000	      0.05480049	      0.05654423
    327.00000000	      6.54000000	      0.05271578	      0.05911310
    328.00000000	      6.56000000	      0.05031777	      0.06202873
    329.00000000	      6.58000000	      0.04763742	      0.06522245
    330.00000000	      6.60000000	      0.04477777	      0.06861382
    331.00000000	      6.62000000	      0.04181365	      0.07211516
    332.00000000	      6.64000000	      0.03883116	      0.07563656
    333.00000000	      6.66000000	      0.03592010	      0.07909065
    334.00000000	      6.68000000	      0.03317009	      0.08239672
    335.00000000	      6.70000000	      0.03066518	      0.08548400
    336.00000000	      6.72000000	      0.02847588	      0.08829378
    337.00000000	      6.74000000	      0.02664985	      0.09078035
    338.00000000	      6.76000000	      0.02520426	      0.09291070
    339.00000000	      6.78000000	      0.02412410	      0.09466313
    340.00000000	      6.80000000	      0.02337335	      0.09602507
    341.00000000	      6.82000000	      0.02290197	      0.09699045
    342.00000000	      6.84000000	      0.02265041	      0.09755717
    343.00000000	      6.86000000	      0.02257965	      0.09772488
    344.00000000	      6.88000000	      0.02267767	      0.09749362
    345.00000000	      6.90000000	      0.02296099	      0.09686334
    346.00000000	      6.92000000	      0.02347251	      0.09583458
    347.00000000	      6.94000000	      0.02427313	      0.09440990
    348.00000000	      6.96000000	      0.02540931	      0.09259622
    349.00000000	      6.98000000	      0.02691530	      0.09040740
    350.00000000	      7.00000000	      0.02880119	      0.08786681
    351.00000000	      7.02000000	      0.03104466	      0.08500943
    352.00000000	      7.04000000	      0.03359379	      0.08188304
    353.00000000	      7.06000000	      0.03637531	      0.07854837
    354.00000000	      7.08000000	      0.03930381	      0.07507794
    355.00000000	      7.10000000	      0.04228933	      0.07155376
    356.00000000	      7.12000000	      0.04524243	      0.06806392
    357.00000000	      7.14000000	      0.04807791	      0.06469829
    358.00000000	      7.16000000	      0.05071871	      0.06154373
    359.00000000	      7.18000000	      0.05306999	      0.05867910
    360.00000000	      7.20000000	      0.05510098	      0.05617084
    361.00000000	      7.22000000	      0.05677835	      0.05406982
    362.00000000	      7.24000000	      0.05808561	      0.05241042
    363.00000000	      7.26000000	      0.05901911	      0.05121212
    364.00000000	      7.28000000	      0.05958227	      0.05048337
    365.00000000	      7.30000000	      0.05977997	      0.05022645
    366.00000000	      7.32000000	      0.05961445	      0.05044159
    367.00000000	      7.34000000	      0.05908381	      0.05112863
    368.00000000	      7.36000000	      0.05818328	      0.05228559
    369.00000000	      7.38000000	      0.05690909	      0.05390478
    370.00000000	      7.40000000	      0.05526403	      0.05596786
    371.00000000	      7.42000000	      0.05326325	      0.05844190
    372.00000000	      7.44000000	      0.05093851	      0.06127746
    373.00000000	      7.46000000	      0.04832049	      0.06440939
    374.00000000	      7.48000000	      0.04549930	      0.06775976
    375.00000000	      7.50000000	      0.04255326	      0.07124222
    376.00000000	      7.52000000	      0.03956704	      0.07476697
    377.00000000	      7.54000000	      0.03662984	      0.07824558
    378.00000000	      7.56000000	      0.03383176	      0.08159536
    379.00000000	      7.58000000	      0.03125887	      0.08474281
    380.00000000	      7.60000000	      0.02898588	      0.08762612
    381.00000000	      7.62000000	      0.02706697	      0.09019633
    382.00000000	      7.64000000	      0.02552731	      0.09241738
    383.00000000	      7.66000000	      0.02435957	      0.09426494
    384.00000000	      7.68000000	      0.02353077	      0.09572440
    385.00000000	      7.70000000	      0.02299625	      0.09678836
    386.00000000	      7.72000000	      0.02269481	      0.09745393
    387.00000000	      7.74000000	      0.02258147	      0.09772051
    388.00000000	      7.76000000	      0.02263723	      0.09758810
    389.00000000	      7.78000000	      0.02287158	      0.09705670
    390.00000000	      7.80000000	      0.02332133	      0.09612654
    391.00000000	      7.82000000	      0.02404489	      0.09479953
    392.00000000	      7.84000000	      0.02509438	      0.09308127
    393.00000000	      7.86000000	      0.02650658	      0.09098363
    394.00000000	      7.88000000	      0.02829915	      0.08852743
    395.00000000	      7.90000000	      0.03045782	      0.08574460
    396.00000000	      7.92000000	      0.03293738	      0.08267970
    397.00000000	      7.94000000	      0.03566895	      0.07939030
    398.00000000	      7.96000000	      0.03856934	      0.07594619
    399.00000000	      7.98000000	      0.04154915	      0.07242729
    400.00000000	      8.00000000	      0.04451845	      0.06892055
    401.00000000	      8.02000000	      0.04739066	      0.06551585
    402.00000000	      8.04000000	      0.05009214	      0.06230125
    403.00000000	      8.06000000	      0.05251553	      0.05935804
    404.00000000	      8.08000000	      0.05462969	      0.05675609
    405.00000000	      8.10000000	      0.05639683	      0.05455032
    406.00000000	      8.12000000	      0.05779655	      0.05277916
    407.00000000	      8.14000000	      0.05882251	      0.05146547
    408.00000000	      8.16000000	      0.05947696	      0.05062000
    409.00000000	      8.18000000	      0.05976486	      0.05024612
    410.00000000	      8.20000000	      0.05968935	      0.05034429
    411.00000000	      8.22000000	      0.05924956	      0.05091446
    412.00000000	      8.24000000	      0.05844116	      0.05195539
    413.00000000	      8.26000000	      0.05725966	      0.05346126
    414.00000000	      8.28000000	      0.05570566	      0.05541680
    415.00000000	      8.30000000	      0.05379075	      0.05779297
    416.00000000	      8.32000000	      0.05154234	      0.06054445
    417.00000000	      8.34000000	      0.04899112	      0.06360978
    418.00000000	      8.36000000	      0.04621313	      0.06691382
    419.00000000	      8.38000000	      0.04329038	      0.07037188
    420.00000000	      8.40000000	      0.04030592	      0.07389452
    421.00000000	      8.42000000	      0.03734815	      0.07739256
    422.00000000	      8.44000000	      0.03450732	      0.08078151
    423.00000000	      8.46000000	      0.03187107	      0.08398534
    424.00000000	      8.48000000	      0.02951776	      0.08693918
    425.00000000	      8.50000000	      0.02750753	      0.08959082
    426.00000000	      8.52000000	      0.02587333	      0.09190108
    427.00000000	      8.54000000	      0.02461580	      0.09384288
    428.00000000	      8.56000000	      0.02370637	      0.09539943
    429.00000000	      8.58000000	      0.02310474	      0.09656179
    430.00000000	      8.60000000	      0.02275064	      0.09732619
    431.00000000	      8.62000000	      0.02259354	      0.09769164
    432.00000000	      8.64000000	      0.02260763	      0.09765810
    433.00000000	      8.66000000	      0.02279530	      0.09722556
    434.00000000	      8.68000000	      0.02318691	      0.09639413
    435.00000000	      8.70000000	      0.02383643	      0.09516512
    436.00000000	      8.72000000	      0.02480183	      0.09354298
    437.00000000	      8.74000000	      0.02612138	      0.09153780
    438.00000000	      8.76000000	      0.02781974	      0.08916793
    439.00000000	      8.78000000	      0.02989080	      0.08646239
    440.00000000	      8.80000000	      0.03229651	      0.08346252
    441.00000000	      8.82000000	      0.03497298	      0.08022269
    442.00000000	      8.84000000	      0.03783975	      0.07680981
    443.00000000	      8.86000000	      0.04080832	      0.07330155
    444.00000000	      8.88000000	      0.04378848	      0.06978346
    445.00000000	      8.90000000	      0.04669251	      0.06634511
    446.00000000	      8.92000000	      0.04943856	      0.06307549
    447.00000000	      8.94000000	      0.05194200	      0.06005800
    448.00000000	      8.96000000	      0.05413701	      0.05736575
