UNKNOWN
version=1
nRows=5001
nColumns=6
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_l	soleus_r	tib_ant_l	tib_ant_r
    177.00000000	     40.35200000	      0.04192011	      0.04152353	      0.07198951	      0.07245753
    178.00000000	     40.35400000	      0.04189290	      0.04159645	      0.07202163	      0.07237147
    179.00000000	     40.35600000	      0.04186008	      0.04166735	      0.07206036	      0.07228781
    180.00000000	     40.35800000	      0.04182186	      0.04173629	      0.07210547	      0.07220645
    181.00000000	     40.36000000	      0.04177831	      0.04180335	      0.07215686	      0.07212731
    182.00000000	     40.36200000	      0.04172960	      0.04186843	      0.07221434	      0.07205051
    183.00000000	     40.36400000	      0.04167600	      0.04193124	      0.07227759	      0.07197638
    184.00000000	     40.36600000	      0.04161773	      0.04199157	      0.07234636	      0.07190519
    185.00000000	     40.36800000	      0.04155493	      0.04204908	      0.07242047	      0.07183731
    186.00000000	     40.37000000	      0.04148780	      0.04210337	      0.07249969	      0.07177324
    187.00000000	     40.37200000	      0.04141662	      0.04215388	      0.07258369	      0.07171363
    188.00000000	     40.37400000	      0.04134153	      0.04220020	      0.07267230	      0.07165896
    189.00000000	     40.37600000	      0.04126282	      0.04224172	      0.07276518	      0.07160995
    190.00000000	     40.37800000	      0.04118071	      0.04227794	      0.07286208	      0.07156720
    191.00000000	     40.38000000	      0.04109541	      0.04230837	      0.07296274	      0.07153128
    192.00000000	     40.38200000	      0.04100715	      0.04233251	      0.07306689	      0.07150279
    193.00000000	     40.38400000	      0.04091609	      0.04234989	      0.07317436	      0.07148228
    194.00000000	     40.38600000	      0.04082247	      0.04236016	      0.07328484	      0.07147016
    195.00000000	     40.38800000	      0.04072649	      0.04236299	      0.07339812	      0.07146682
    196.00000000	     40.39000000	      0.04062833	      0.04235820	      0.07351397	      0.07147247
    197.00000000	     40.39200000	      0.04052814	      0.04234570	      0.07363223	      0.07148723
    198.00000000	     40.39400000	      0.04042613	      0.04232538	      0.07375263	      0.07151121
    199.00000000	     40.39600000	      0.04032242	      0.04229735	      0.07387504	      0.07154429
    200.00000000	     40.39800000	      0.04021709	      0.04226182	      0.07399938	      0.07158623
    201.00000000	     40.40000000	      0.04011038	      0.04221908	      0.07412536	      0.07163667
    202.00000000	     40.40200000	      0.04000232	      0.04216955	      0.07425295	      0.07169514
    203.00000000	     40.40400000	      0.03989295	      0.04211370	      0.07438208	      0.07176104
    204.00000000	     40.40600000	      0.03978229	      0.04205223	      0.07451275	      0.07183359
    205.00000000	     40.40800000	      0.03967046	      0.04198580	      0.07464482	      0.07191200
    206.00000000	     40.41000000	      0.03955747	      0.04191516	      0.07477827	      0.07199537
    207.00000000	     40.41200000	      0.03944335	      0.04184111	      0.07491308	      0.07208275
    208.00000000	     40.41400000	      0.03932804	      0.04176451	      0.07504930	      0.07217314
    209.00000000	     40.41600000	      0.03921152	      0.04168624	      0.07518699	      0.07226551
    210.00000000	     40.41800000	      0.03909374	      0.04160719	      0.07532618	      0.07235879
    211.00000000	     40.42000000	      0.03897464	      0.04152827	      0.07546694	      0.07245194
    212.00000000	     40.42200000	      0.03885415	      0.04145033	      0.07560938	      0.07254391
    213.00000000	     40.42400000	      0.03873222	      0.04137427	      0.07575355	      0.07263367
    214.00000000	     40.42600000	      0.03860876	      0.04130088	      0.07589956	      0.07272027
    215.00000000	     40.42800000	      0.03848370	      0.04123095	      0.07604749	      0.07280280
    216.00000000	     40.43000000	      0.03835697	      0.04116521	      0.07619744	      0.07288037
    217.00000000	     40.43200000	      0.03822849	      0.04110431	      0.07634948	      0.07295224
    218.00000000	     40.43400000	      0.03809821	      0.04104888	      0.07650371	      0.07301766
    219.00000000	     40.43600000	      0.03796604	      0.04099941	      0.07666022	      0.07307603
    220.00000000	     40.43800000	      0.03783194	      0.04095638	      0.07681905	      0.07312682
    221.00000000	     40.44000000	      0.03769586	      0.04092015	      0.07698029	      0.07316957
    222.00000000	     40.44200000	      0.03755776	      0.04089101	      0.07714398	      0.07320396
    223.00000000	     40.44400000	      0.03741762	      0.04086915	      0.07731015	      0.07322975
    224.00000000	     40.44600000	      0.03727540	      0.04085468	      0.07747885	      0.07324683
    225.00000000	     40.44800000	      0.03713109	      0.04084757	      0.07765011	      0.07325523
    226.00000000	     40.45000000	      0.03698466	      0.04084770	      0.07782397	      0.07325507
    227.00000000	     40.45200000	      0.03683610	      0.04085487	      0.07800043	      0.07324661
