UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
   1279.00000000	     42.55600000	      0.08397497	      0.04420235	      0.06929431
   1280.00000000	     42.55800000	      0.08394324	      0.04421068	      0.06928446
   1281.00000000	     42.56000000	      0.08390809	      0.04421854	      0.06927517
   1282.00000000	     42.56200000	      0.08386947	      0.04422579	      0.06926660
   1283.00000000	     42.56400000	      0.08382730	      0.04423229	      0.06925892
   1284.00000000	     42.56600000	      0.08378150	      0.04423789	      0.06925229
   1285.00000000	     42.56800000	      0.08373201	      0.04424246	      0.06924689
   1286.00000000	     42.57000000	      0.08367875	      0.04424585	      0.06924289
   1287.00000000	     42.57200000	      0.08362160	      0.04424790	      0.06924046
   1288.00000000	     42.57400000	      0.08356055	      0.04424850	      0.06923975
   1289.00000000	     42.57600000	      0.08349555	      0.04424752	      0.06924091
   1290.00000000	     42.57800000	      0.08342654	      0.04424483	      0.06924409
   1291.00000000	     42.58000000	      0.08335346	      0.04424033	      0.06924941
   1292.00000000	     42.58200000	      0.08327628	      0.04423390	      0.06925701
   1293.00000000	     42.58400000	      0.08319496	      0.04422547	      0.06926698
   1294.00000000	     42.58600000	      0.08310947	      0.04421493	      0.06927944
   1295.00000000	     42.58800000	      0.08301975	      0.04420223	      0.06929445
   1296.00000000	     42.59000000	      0.08292576	      0.04418729	      0.06931211
   1297.00000000	     42.59200000	      0.08282749	      0.04417008	      0.06933246
   1298.00000000	     42.59400000	      0.08272491	      0.04415054	      0.06935556
   1299.00000000	     42.59600000	      0.08261804	      0.04412866	      0.06938142
   1300.00000000	     42.59800000	      0.08250683	      0.04410441	      0.06941008
   1301.00000000	     42.60000000	      0.08239123	      0.04407777	      0.06944157
   1302.00000000	     42.60200000	      0.08227121	      0.04404874	      0.06947589
   1303.00000000	     42.60400000	      0.08214671	      0.04401728	      0.06951307
   1304.00000000	     42.60600000	      0.08201765	      0.04398340	      0.06955312
   1305.00000000	     42.60800000	      0.08188396	      0.04394706	      0.06959606
   1306.00000000	     42.61000000	      0.08174552	      0.04390823	      0.06964194
   1307.00000000	     42.61200000	      0.08160222	      0.04386689	      0.06969081
   1308.00000000	     42.61400000	      0.08145392	      0.04382296	      0.06974272
   1309.00000000	     42.61600000	      0.08130042	      0.04377636	      0.06979778
   1310.00000000	     42.61800000	      0.08114150	      0.04372700	      0.06985611
   1311.00000000	     42.62000000	      0.08097693	      0.04367473	      0.06991786
   1312.00000000	     42.62200000	      0.08080642	      0.04361941	      0.06998322
   1313.00000000	     42.62400000	      0.08062964	      0.04356082	      0.07005243
   1314.00000000	     42.62600000	      0.08044627	      0.04349876	      0.07012575
   1315.00000000	     42.62800000	      0.08025596	      0.04343294	      0.07020349
   1316.00000000	     42.63000000	      0.08005826	      0.04336308	      0.07028602
   1317.00000000	     42.63200000	      0.07985279	      0.04328882	      0.07037372
   1318.00000000	     42.63400000	      0.07963911	      0.04320980	      0.07046705
   1319.00000000	     42.63600000	      0.07941680	      0.04312560	      0.07056648
   1320.00000000	     42.63800000	      0.07918545	      0.04303580	      0.07067252
   1321.00000000	     42.64000000	      0.07894462	      0.04293993	      0.07078572
   1322.00000000	     42.64200000	      0.07869384	      0.04283750	      0.07090666
   1323.00000000	     42.64400000	      0.07843255	      0.04272800	      0.07103593
   1324.00000000	     42.64600000	      0.07816020	      0.04261092	      0.07117415
   1325.00000000	     42.64800000	      0.07787628	      0.04248573	      0.07132193
   1326.00000000	     42.65000000	      0.07758029	      0.04235191	      0.07147989
   1327.00000000	     42.65200000	      0.07727175	      0.04220897	      0.07164861
   1328.00000000	     42.65400000	      0.07695019	      0.04205641	      0.07182866
   1329.00000000	     42.65600000	      0.07661523	      0.04189381	      0.07202055
   1330.00000000	     42.65800000	      0.07626648	      0.04172077	      0.07222476
   1331.00000000	     42.66000000	      0.07590366	      0.04153696	      0.07244167
   1332.00000000	     42.66200000	      0.07552655	      0.04134212	      0.07267160
   1333.00000000	     42.66400000	      0.07513493	      0.04113606	      0.07291477
   1334.00000000	     42.66600000	      0.07472883	      0.04091871	      0.07317127
   1335.00000000	     42.66800000	      0.07430824	      0.04069005	      0.07344112
   1336.00000000	     42.67000000	      0.07387338	      0.04045024	      0.07372417
   1337.00000000	     42.67200000	      0.07342450	      0.04019950	      0.07402016
   1338.00000000	     42.67400000	      0.07296209	      0.03993819	      0.07432866
   1339.00000000	     42.67600000	      0.07248666	      0.03966679	      0.07464916
   1340.00000000	     42.67800000	      0.07199897	      0.03938592	      0.07498093
   1341.00000000	     42.68000000	      0.07149979	      0.03909628	      0.07532317
   1342.00000000	     42.68200000	      0.07099014	      0.03879872	      0.07567492
   1343.00000000	     42.68400000	      0.07047099	      0.03849416	      0.07603512
   1344.00000000	     42.68600000	      0.06994360	      0.03818363	      0.07640259
   1345.00000000	     42.68800000	      0.06940916	      0.03786822	      0.07677608
   1346.00000000	     42.69000000	      0.06886904	      0.03754910	      0.07715425
   1347.00000000	     42.69200000	      0.06832460	      0.03722746	      0.07753575
   1348.00000000	     42.69400000	      0.06777719	      0.03690448	      0.07791919
   1349.00000000	     42.69600000	      0.06722824	      0.03658138	      0.07830320
   1350.00000000	     42.69800000	      0.06667912	      0.03625933	      0.07868643
   1351.00000000	     42.70000000	      0.06613120	      0.03593944	      0.07906758
