UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	med_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
   1593.00000000	     15.93000000	      0.07263681	      0.08599300	      0.03610187	      0.05102038	      0.07887398	      0.06117822
   1594.00000000	     15.94000000	      0.07204665	      0.08423844	      0.03601302	      0.04994229	      0.07897987	      0.06247317
   1595.00000000	     15.95000000	      0.07164076	      0.08215478	      0.03604305	      0.04858047	      0.07894407	      0.06409957
   1596.00000000	     15.96000000	      0.07143733	      0.07977320	      0.03619693	      0.04696855	      0.07876073	      0.06601737
   1597.00000000	     15.97000000	      0.07143942	      0.07715508	      0.03647071	      0.04516642	      0.07843484	      0.06815390
   1598.00000000	     15.98000000	      0.07163558	      0.07439126	      0.03685208	      0.04325991	      0.07798145	      0.07040787
   1599.00000000	     15.99000000	      0.07200194	      0.07159591	      0.03732187	      0.04135343	      0.07742373	      0.07265825
   1600.00000000	     16.00000000	      0.07250615	      0.06889552	      0.03785617	      0.03955867	      0.07679036	      0.07477685
   1601.00000000	     16.01000000	      0.07311096	      0.06641577	      0.03842883	      0.03798141	      0.07611240	      0.07664202
   1602.00000000	     16.02000000	      0.07377768	      0.06427070	      0.03901408	      0.03670937	      0.07542032	      0.07815103
   1603.00000000	     16.03000000	      0.07446953	      0.06224446	      0.03958876	      0.03580393	      0.07474132	      0.07922921
   1604.00000000	     16.04000000	      0.07515435	      0.06097165	      0.04013407	      0.03529686	      0.07409740	      0.07983494
   1605.00000000	     16.05000000	      0.07580654	      0.06017592	      0.04063659	      0.03519161	      0.07350422	      0.07996087
   1606.00000000	     16.06000000	      0.07640818	      0.05984740	      0.04108852	      0.03546644	      0.07297087	      0.07963219
   1607.00000000	     16.07000000	      0.07694930	      0.05994759	      0.04148727	      0.03607788	      0.07250031	      0.07890257
   1608.00000000	     16.08000000	      0.07742741	      0.06041485	      0.04183461	      0.03696428	      0.07209042	      0.07784817
   1609.00000000	     16.09000000	      0.07784648	      0.06117144	      0.04213551	      0.03805069	      0.07173530	      0.07655997
   1610.00000000	     16.10000000	      0.07821557	      0.06213179	      0.04239696	      0.03925569	      0.07142672	      0.07513479
   1611.00000000	     16.11000000	      0.07854718	      0.06321305	      0.04262680	      0.04049955	      0.07115541	      0.07366597
   1612.00000000	     16.12000000	      0.07885572	      0.06434304	      0.04283290	      0.04171220	      0.07091210	      0.07223488
   1613.00000000	     16.13000000	      0.07915596	      0.06546572	      0.04302246	      0.04283914	      0.07068827	      0.07090472
   1614.00000000	     16.14000000	      0.07946177	      0.06654363	      0.04320174	      0.04384462	      0.07047656	      0.06971713
   1615.00000000	     16.15000000	      0.07978521	      0.06755740	      0.04337596	      0.04471163	      0.07027080	      0.06869206
   1616.00000000	     16.16000000	      0.08013577	      0.06850322	      0.04354945	      0.04543963	      0.07006586	      0.06783044
   1617.00000000	     16.17000000	      0.08051998	      0.06938894	      0.04372598	      0.04604041	      0.06985731	      0.06711861
   1618.00000000	     16.18000000	      0.08094116	      0.07022974	      0.04390901	      0.04653346	      0.06964102	      0.06653386
   1619.00000000	     16.19000000	      0.08139931	      0.07104394	      0.04410202	      0.04694121	      0.06941291	      0.06604984
   1620.00000000	     16.20000000	      0.08189126	      0.07184958	      0.04430854	      0.04728513	      0.06916877	      0.06564128
   1621.00000000	     16.21000000	      0.08241090	      0.07266134	      0.04453210	      0.04758272	      0.06890441	      0.06528751
   1622.00000000	     16.22000000	      0.08294958	      0.07348824	      0.04477596	      0.04784591	      0.06861597	      0.06497442
   1623.00000000	     16.23000000	      0.08349668	      0.07433345	      0.04504256	      0.04808061	      0.06830051	      0.06469507
   1624.00000000	     16.24000000	      0.08404020	      0.07519456	      0.04533298	      0.04828736	      0.06795672	      0.06444885
   1625.00000000	     16.25000000	      0.08456739	      0.07606460	      0.04564633	      0.04846282	      0.06758561	      0.06423980
   1626.00000000	     16.26000000	      0.08506537	      0.07693340	      0.04597927	      0.04860172	      0.06719108	      0.06407424
   1627.00000000	     16.27000000	      0.08552185	      0.07810411	      0.04632584	      0.04869888	      0.06678016	      0.06395840
   1628.00000000	     16.28000000	      0.08592584	      0.07898711	      0.04667767	      0.04875112	      0.06636272	      0.06389610
   1629.00000000	     16.29000000	      0.08626844	      0.07987093	      0.04702470	      0.04875861	      0.06595069	      0.06388717
   1630.00000000	     16.30000000	      0.08654375	      0.08075520	      0.04735631	      0.04872561	      0.06555669	      0.06392652
   1631.00000000	     16.31000000	      0.08674957	      0.08164171	      0.04766277	      0.04866048	      0.06519230	      0.06400419
   1632.00000000	     16.32000000	      0.08688795	      0.08253046	      0.04793684	      0.04857484	      0.06486622	      0.06410629
   1633.00000000	     16.33000000	      0.08696537	      0.08341710	      0.04817507	      0.04848217	      0.06458259	      0.06421675
   1634.00000000	     16.34000000	      0.08699240	      0.08429136	      0.04837884	      0.04839585	      0.06433987	      0.06431961
   1635.00000000	     16.35000000	      0.08698292	      0.08513733	      0.04855449	      0.04832699	      0.06413054	      0.06440165
   1636.00000000	     16.36000000	      0.08695267	      0.08593432	      0.04871280	      0.04828241	      0.06394180	      0.06445476
   1637.00000000	     16.37000000	      0.08691743	      0.08665141	      0.04886747	      0.04826301	      0.06375731	      0.06447786
   1638.00000000	     16.38000000	      0.08689051	      0.08725989	      0.04903284	      0.04826300	      0.06355999	      0.06447787
   1639.00000000	     16.39000000	      0.08688012	      0.08773532	      0.04922097	      0.04827002	      0.06333539	      0.06446951
   1640.00000000	     16.40000000	      0.08688648	      0.08805615	      0.04943853	      0.04826642	      0.06307552	      0.06447380
   1641.00000000	     16.41000000	      0.08689937	      0.08820407	      0.04968373	      0.04823145	      0.06278244	      0.06451545
   1642.00000000	     16.42000000	      0.08689642	      0.08816566	      0.04994394	      0.04814426	      0.06247119	      0.06461929
   1643.00000000	     16.43000000	      0.08684250	      0.08793483	      0.05019965	      0.04798712	      0.06217143	      0.06480637
   1644.00000000	     16.44000000	      0.08668981	      0.08751522	      0.05040156	      0.04774858	      0.06192745	      0.06509023
   1645.00000000	     16.45000000	      0.08638142	      0.08692198	      0.05051012	      0.04742588	      0.06179616	      0.06547398
   1646.00000000	     16.46000000	      0.08585503	      0.08618222	      0.05047126	      0.04702637	      0.06184317	      0.06594871
   1647.00000000	     16.47000000	      0.08504816	      0.08533413	      0.05022816	      0.04656745	      0.06213699	      0.06649352
   1648.00000000	     16.48000000	      0.08390408	      0.08442447	      0.04971762	      0.04607519	      0.06274192	      0.06707738
   1649.00000000	     16.49000000	      0.08237822	      0.08350495	      0.04890721	      0.04558150	      0.06370990	      0.06766240
   1650.00000000	     16.50000000	      0.08044472	      0.08262760	      0.04776386	      0.04512048	      0.06507205	      0.06820828
   1651.00000000	     16.51000000	      0.07810259	      0.08184014	      0.04628314	      0.04472438	      0.06683081	      0.06867698
   1652.00000000	     16.52000000	      0.07538155	      0.08118166	      0.04449005	      0.04441990	      0.06895414	      0.06903710
   1653.00000000	     16.53000000	      0.07234534	      0.08067951	      0.04244206	      0.04422529	      0.07137349	      0.06926719
   1654.00000000	     16.54000000	      0.06909153	      0.08034754	      0.04022764	      0.04414873	      0.07398694	      0.06935769
