Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
40.11150000	0.00004421	0.00014949	0.00011396	0.00013975	0.00003333	0.00012944
40.11200000	0.00004420	0.00014909	0.00011389	0.00013882	0.00003330	0.00012943
40.11250000	0.00004420	0.00014792	0.00011376	0.00013741	0.00003328	0.00012942
40.11300000	0.00004421	0.00014630	0.00011380	0.00013579	0.00003324	0.00012937
40.11350000	0.00004419	0.00014474	0.00011420	0.00013457	0.00003317	0.00012914
40.11400000	0.00004417	0.00014394	0.00011475	0.00013414	0.00003312	0.00012882
40.11450000	0.00004414	0.00014390	0.00011528	0.00013414	0.00003312	0.00012871
40.11500000	0.00004411	0.00014351	0.00011569	0.00013374	0.00003312	0.00012866
40.11550000	0.00004408	0.00014211	0.00011593	0.00013303	0.00003307	0.00012853
40.11600000	0.00004423	0.00014058	0.00011619	0.00013245	0.00003299	0.00012837
40.11650000	0.00004482	0.00013853	0.00011663	0.00013207	0.00003293	0.00012836
40.11700000	0.00004561	0.00013449	0.00011716	0.00013174	0.00003291	0.00012832
40.11750000	0.00004619	0.00012913	0.00011759	0.00013119	0.00003289	0.00012821
40.11800000	0.00004651	0.00012534	0.00011781	0.00013027	0.00003286	0.00012804
40.11850000	0.00004667	0.00012355	0.00011788	0.00012947	0.00003282	0.00012781
40.11900000	0.00004674	0.00012298	0.00011804	0.00012889	0.00003280	0.00012754
40.11950000	0.00004679	0.00012299	0.00011860	0.00012823	0.00003278	0.00012733
40.12000000	0.00004680	0.00012288	0.00011927	0.00012754	0.00003278	0.00012727
40.12050000	0.00004680	0.00012261	0.00011974	0.00012699	0.00003283	0.00012727
40.12100000	0.00004681	0.00012213	0.00011986	0.00012647	0.00003289	0.00012719
40.12150000	0.00004681	0.00012108	0.00011985	0.00012579	0.00003290	0.00012697
40.12200000	0.00004681	0.00011906	0.00012096	0.00012504	0.00003290	0.00012661
40.12250000	0.00004682	0.00011618	0.00012277	0.00012455	0.00003292	0.00012610
40.12300000	0.00004682	0.00011248	0.00012398	0.00012441	0.00003294	0.00012552
40.12350000	0.00004683	0.00010828	0.00012450	0.00012440	0.00003294	0.00012514
40.12400000	0.00004693	0.00010583	0.00012481	0.00012440	0.00003301	0.00012511
40.12450000	0.00004715	0.00010567	0.00012517	0.00012439	0.00003324	0.00012458
40.12500000	0.00004736	0.00010541	0.00012545	0.00012435	0.00003359	0.00012183
40.12550000	0.00004748	0.00010503	0.00012571	0.00012423	0.00003386	0.00011790
40.12600000	0.00004750	0.00010503	0.00012655	0.00012403	0.00003391	0.00011548
40.12650000	0.00004752	0.00010488	0.00012839	0.00012369	0.00003384	0.00011484
40.12700000	0.00004765	0.00010483	0.00012980	0.00012316	0.00003376	0.00011474
40.12750000	0.00004788	0.00010449	0.00013014	0.00012240	0.00003368	0.00011456
