Toe y trajetcoriesendheader

time	leftToe	rightToe
48.37200000	31.34926866	116.41536636
48.37400000	31.31034898	116.34222189
48.37600000	31.24234422	116.05222364
48.37800000	31.17437027	115.73918667
48.38000000	31.19312343	115.39712963
48.38200000	31.15579351	114.89889342
48.38400000	31.27240145	114.43126849
48.38600000	31.19113037	113.80975575
48.38800000	31.22604510	113.27474464
48.39000000	31.27122741	112.83874006
48.39200000	31.13213400	112.08028946
48.39400000	30.96158234	111.32091388
48.39600000	30.95564651	110.43466280
48.39800000	30.89772415	108.95041930
48.40000000	30.94774879	108.04968574
48.40200000	31.01559392	107.07943678
48.40400000	30.84229903	106.03137853
48.40600000	30.79468416	105.03417929
48.40800000	30.81234314	104.05019227
48.41000000	29.40039213	103.02762056
48.41200000	30.14051463	101.94440169
48.41400000	30.99637915	100.85278284
48.41600000	30.78737357	99.69681689
48.41800000	30.70023873	98.61571737
48.42000000	30.79410737	97.42971053
48.42200000	30.70019234	96.28863185
48.42400000	30.79229593	94.94375968
48.42600000	30.72041203	93.89245918
48.42800000	30.71440156	93.19796141
48.43000000	30.75387672	91.69004958
48.43200000	30.74374901	90.61249079
48.43400000	30.74628243	89.25307301
48.43600000	30.74256258	87.51444147
48.43800000	30.68331586	86.28399396
48.44000000	30.79409187	84.89838811
48.44200000	30.72748305	83.61528326
48.44400000	30.77128799	82.28824074
48.44600000	30.73839282	80.88977014
48.44800000	30.70898299	79.51873660
48.45000000	30.71527469	78.21441140
48.45200000	30.77885111	76.77558279
48.45400000	30.68720714	75.35653447
48.45600000	29.59622337	74.66170624
48.45800000	29.54481976	73.18580024
48.46000000	29.63298937	71.85714703
48.46200000	29.49896042	69.88230418
48.46400000	29.61246725	68.61338325
48.46600000	29.51308400	67.17514674
48.46800000	29.61685516	65.99502140
48.47000000	29.56074692	64.60249031
48.47200000	29.55128217	63.34159314
48.47400000	29.61563675	62.14605819
48.47600000	29.63016898	60.85376547
48.47800000	29.60250324	59.58911038
48.48000000	29.66502495	58.48592846
48.48200000	29.62976539	57.36583425
48.48400000	29.71951502	56.38541267
48.48600000	30.93968969	55.20965765
48.48800000	30.83974984	54.51052530
48.49000000	30.83977676	53.40450436
48.49200000	30.89475570	52.71607653
48.49400000	30.91644660	51.84673622
48.49600000	30.97941335	51.14522245
48.49800000	30.95691713	50.51306506
48.50000000	31.00857401	49.96224688
48.50200000	31.00453875	49.39541673
48.50400000	31.09174744	48.89982287
48.50600000	31.06135401	49.21408370
48.50800000	31.00209387	49.02426032
48.51000000	31.14037854	48.89590590
48.51200000	31.21993159	48.62202836
48.51400000	31.27358738	48.36785418
48.51600000	31.18189481	48.22974764
48.51800000	31.32061115	48.06876387
48.52000000	31.39342932	47.72488205
48.52200000	31.32127914	47.70244144
48.52400000	31.39350498	47.58643527
48.52600000	31.47045545	47.68031684
48.52800000	31.62098957	47.82845291
48.53000000	31.48844777	48.06311481
48.53200000	31.61065859	48.43059011
48.53400000	31.58023290	48.83457724
48.53600000	31.61708155	49.24121335
48.53800000	31.66396886	49.76425602
48.54000000	31.73840706	50.22001766
48.54200000	31.74811974	50.86442207
48.54400000	31.79043783	51.39298808
48.54600000	31.79193623	52.02674013
48.54800000	31.88408868	52.68319019
48.55000000	31.86625854	53.28656646
48.55200000	31.85499939	53.93104188
48.55400000	31.81877317	54.51879274
48.55600000	31.83622169	55.22685243
48.55800000	31.79734365	55.91520814
48.56000000	31.16902240	56.67539389
48.56200000	31.26108241	57.41465554
48.56400000	31.22847152	58.26587717
48.56600000	31.31710215	59.20401656
48.56800000	31.28047507	60.25410350
48.57000000	31.37412893	61.34427053
48.57200000	31.29771744	62.50246069
48.57400000	31.34713354	63.64821748
48.57600000	31.38779842	64.87990224
48.57800000	31.34072829	66.13268309
48.58000000	31.53628456	67.27701063
48.58200000	31.57042105	68.47296053
48.58400000	31.55329683	70.07397334
48.58600000	31.33749175	70.94872971
48.58800000	31.39922150	71.70908473
48.59000000	31.30520295	72.35513536
48.59200000	31.32221575	73.08534206
48.59400000	31.11487630	73.70162136
48.59600000	31.18412919	74.26803687
48.59800000	31.14425491	74.69974924
48.60000000	31.17865943	75.06113093
48.60200000	31.20469636	75.29457925
48.60400000	31.21083423	75.43312291
48.60600000	31.30262825	75.51765212
48.60800000	31.31061668	75.48836199
48.61000000	31.36655912	75.48420012
48.61200000	31.35490223	75.24124179
48.61400000	31.44155475	74.96118885
48.61600000	31.50027602	74.62579604
48.61800000	31.62765526	74.12792129
48.62000000	31.63156916	73.56400794
48.62200000	31.71692755	72.88962889
48.62400000	31.77516149	72.12244793
48.62600000	31.89146450	71.18314158
48.62800000	31.92348231	70.22153581
48.63000000	32.03105497	69.18802980
48.63200000	32.07802787	67.99011249
48.63400000	32.23967561	66.65477018
48.63600000	32.34917471	64.99632264
48.63800000	32.48804286	62.93464658
48.64000000	32.61262532	59.58434861
48.64200000	32.77180882	55.77926137
48.64400000	33.01155647	51.64972018
48.64600000	33.15795230	47.53427877
48.64800000	33.37445394	43.69216816
48.65000000	33.64279964	40.20338928
48.65200000	33.87940380	37.14171712
48.65400000	34.14925018	34.74118419
48.65600000	34.40067849	33.56932195
48.65800000	34.64239838	33.88973798
48.66000000	34.99436829	34.24612614
48.66200000	35.18588530	34.58106653
48.66400000	35.54104405	34.88243338
48.66600000	35.88078799	34.81903414
48.66800000	36.15753122	34.27745482
48.67000000	36.43634566	33.65342773
48.67200000	36.86729696	32.88391852
48.67400000	37.28145304	32.17337376
48.67600000	37.93768871	31.82074402
48.67800000	38.62041924	31.46953265
48.68000000	39.57539550	31.02442243
48.68200000	40.77341489	30.82111203
48.68400000	42.02991926	30.51908660
48.68600000	43.55204513	30.26150791
48.68800000	45.08641221	30.08101927
48.69000000	46.92972789	29.84761417
48.69200000	48.65430997	29.74225731
48.69400000	50.47502925	29.57037544
48.69600000	52.35586786	29.41581527
48.69800000	54.32914571	29.28160750
48.70000000	56.32113175	29.18923026
48.70200000	58.50707645	29.15696527
48.70400000	60.88705341	29.05445105
48.70600000	63.40290772	29.14294062
48.70800000	66.51450164	29.06770637
48.71000000	69.44314163	29.05361830
48.71200000	71.87036050	29.11233821
48.71400000	74.50376873	29.10243910
48.71600000	77.02351989	29.12312744
48.71800000	79.68086455	29.16834431
48.72000000	81.99581009	29.12181097
48.72200000	84.53603934	29.14548790
48.72400000	86.99338733	29.11711205
48.72600000	89.46879889	29.14421005
48.72800000	91.75812887	29.10048571
48.73000000	94.07772579	29.04507862
48.73200000	96.23901181	29.10285309
48.73400000	98.36925276	29.03879014
48.73600000	100.55158143	29.02566164
48.73800000	102.37134620	29.13502301
48.74000000	104.14129632	29.03850295
48.74200000	105.82651383	29.72674841
48.74400000	107.34852751	29.62020297
48.74600000	108.85572971	29.75493296
48.74800000	110.17670460	29.74379633
48.75000000	111.41613489	29.77034220
48.75200000	112.61499414	29.84688934
48.75400000	113.77786028	29.78955175
48.75600000	114.79594734	29.84246536
48.75800000	115.73299773	29.91967412
48.76000000	116.68794315	29.87197036
48.76200000	117.32907061	29.92377079
48.76400000	118.18884461	29.93727159
48.76600000	118.71169504	29.98810780
48.76800000	119.29280752	29.97491354
48.77000000	119.70255206	30.01572702
48.77200000	119.90450915	30.03453203
48.77400000	119.95975621	30.10260444
48.77600000	120.00284323	30.07216199
48.77800000	120.75814053	30.16426287
48.78000000	120.76723587	30.16165749
48.78200000	120.12250136	30.19947224
48.78400000	120.12870009	30.21505949
48.78600000	119.93465429	30.30934353
48.78800000	119.64649296	30.27916475
48.79000000	119.33712008	30.28950680
48.79200000	118.99029312	30.35505223
