ANALOG
2000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1,RMG,LMG,RTA,LTA,SPEED,MP,S1,SYNC
Units:,N,N,N,Nmm,Nmm,Nmm,V,V,V,V,V,V,V,V
939,0.607785,-0.019902,-1.291375,8.890590,12.631716,-9.150948,0.000057,0.000012,-0.000001,0.000001,-0.050693,0.016675,0.000610,0.335312
940,0.629764,0.062559,-1.330548,4.765893,31.221399,6.400745,0.000013,0.000006,-0.000003,-0.000003,-0.051456,0.017590,0.001221,0.341759
941,0.760293,-0.054516,-1.121411,27.978754,34.641880,-17.297955,-0.000076,-0.000006,0.000000,0.000001,-0.047794,0.017896,-0.000076,1.249962
942,0.622719,-0.000784,-1.420857,6.811357,-5.713272,1.155142,-0.000038,-0.000005,-0.000005,0.000004,-0.051303,0.018506,-0.000229,1.249962
943,0.651090,0.012170,-1.287420,13.434467,15.775483,-0.963418,0.000028,-0.000010,0.000001,0.000003,-0.048557,0.018201,0.000076,1.249962
944,0.651509,-0.075724,-1.227749,13.989924,14.436566,-8.379042,0.000033,-0.000001,0.000002,0.000002,-0.052829,0.019116,0.000496,1.249962
945,0.570227,-0.008799,-1.367026,28.094458,22.992691,-2.440695,0.000021,-0.000003,-0.000005,0.000012,-0.051608,0.017438,0.000954,1.249962
946,0.445911,-0.059082,-1.193104,7.639996,6.960645,-0.442793,-0.000000,0.000015,-0.000002,0.000006,-0.054050,0.016217,0.001183,0.343208
947,0.513839,-0.011470,-1.292847,12.528836,19.464590,9.242683,-0.000012,0.000017,-0.000003,0.000004,-0.051456,0.017285,0.001106,0.340424
948,0.525206,-0.026004,-1.383704,13.520860,6.633433,6.426158,0.000005,0.000017,-0.000008,-0.000005,-0.051456,0.019116,0.001297,0.351143
949,0.486826,-0.020556,-1.219492,11.520224,13.868513,3.709278,0.000094,-0.000005,-0.000004,0.000009,-0.051761,0.016217,0.001984,0.343704
950,0.455765,0.013334,-1.334993,4.204365,25.523619,11.688996,0.000002,-0.000007,0.000001,0.000012,-0.050388,0.016370,0.001373,0.339928
951,0.504324,-0.033395,-1.025862,24.028902,33.669472,-9.982787,-0.000032,0.000002,-0.000000,0.000003,-0.048709,0.020490,0.002708,1.249962
952,0.368859,0.025312,-1.035978,2.755206,-0.057957,6.804720,-0.000000,0.000001,-0.000000,0.000002,-0.051151,0.017590,0.001221,1.249962
953,0.277137,0.028180,-1.127556,-5.188558,8.760328,6.821226,-0.000038,-0.000004,0.000000,0.000004,-0.050845,0.023236,0.000114,1.249962
954,0.323281,-0.021200,-1.118698,16.862940,7.637793,-2.342061,0.000014,-0.000004,0.000005,0.000008,-0.051303,0.017590,0.000916,1.249962
955,0.413859,-0.013692,-1.287950,2.425456,13.235475,-7.218323,0.000087,-0.000002,0.000007,0.000002,-0.051456,0.016827,0.000801,1.249962
