TRAJECTORIES
200.000000,Hz
LCrest_X,LCrest_Y,LCrest_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,LMTP_X,LMTP_Y,LMTP_Z,LTip_X,LTip_Y,LTip_Z,RCrest_X,RCrest_Y,RCrest_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,RMTP_X,RMTP_Y,RMTP_Z,RTip_X,RTip_Y,RTip_Z,COP_FP1_X,COP_FP1_Y,COP_FP1_Z,RawCentreFP1_X,RawCentreFP1_Y,RawCentreFP1_Z,VECTIP_FP1_X,VECTIP_FP1_Y,VECTIP_FP1_Z,Force_FP1_X,Force_FP1_Y,Force_FP1_Z,RawForceFP1_X,RawForceFP1_Y,RawForceFP1_Z,RawMomentFP1_X,RawMomentFP1_Y,RawMomentFP1_Z
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1961,59.081589,107.588676,90.598602,60.434296,94.738434,67.339706,60.657269,118.992592,51.728306,55.330345,80.775528,19.862034,57.539600,69.228317,5.689468,56.612514,68.401787,2.176543,88.679634,104.262688,94.341087,95.166061,94.514046,69.754738,92.509499,127.431709,59.855785,85.460526,111.017174,16.828037,84.626602,121.383934,4.447744,86.371346,130.881271,1.593733,60.627941,119.284996,0.000000,81.000000,76.000000,0.000000,60.533695,119.997475,1.447537,60.533695,119.997475,1.447537,-0.094247,0.712478,1.447537,62.656635,29.489302,18.332218
1962,58.891247,107.348198,90.964272,60.406605,94.700912,67.573242,60.516174,118.757568,52.027317,55.263882,80.481239,20.185030,57.489483,68.660332,6.135483,56.530991,68.110733,1.844288,88.584114,104.174347,94.619324,95.078918,94.501923,69.995522,92.555428,127.291397,60.155121,85.493217,110.682800,16.957064,84.678482,120.976822,4.474927,86.302505,130.460480,1.510513,64.023674,127.676117,0.000000,81.000000,76.000000,0.000000,63.925190,128.317307,1.305676,63.925190,128.317307,1.305676,-0.098485,0.641188,1.305676,67.472275,22.165579,24.091986
1963,58.764717,107.131393,91.304924,60.308998,94.631409,67.870117,60.295742,118.605186,52.279594,55.175148,80.223427,20.488428,57.410954,68.448135,6.407887,56.491627,67.697510,2.199865,88.544540,104.086037,94.870918,95.018494,94.480438,70.229401,92.517273,127.157532,60.306149,85.601173,110.367043,17.042261,84.703545,120.552094,4.481238,86.384789,129.997833,1.603313,62.867413,126.870522,0.000000,81.000000,76.000000,0.000000,62.742905,127.511078,1.180979,62.742905,127.511078,1.180979,-0.124506,0.640558,1.180979,60.077019,21.414202,27.825832
1964,58.787418,106.951202,91.575424,60.256374,94.566315,68.149979,60.078197,118.433922,52.543179,54.983089,80.001671,20.782959,57.377274,68.164192,6.737420,56.483582,67.441193,2.114697,88.468040,103.993469,95.114754,94.931931,94.447220,70.431526,92.506950,126.999313,60.572781,85.635406,110.065956,17.127365,84.719597,120.117569,4.467804,86.285706,129.586380,1.531405,76.035027,131.720123,0.000000,81.000000,76.000000,0.000000,76.038124,132.330505,1.062394,76.038124,132.330505,1.062394,0.003095,0.610377,1.062394,59.196758,5.274754,33.243782
1965,58.733849,106.730400,91.825493,60.210537,94.478836,68.369942,59.902504,118.200058,52.743782,54.859322,79.734886,21.071241,57.351345,67.786736,6.992093,56.419224,67.083626,2.212224,88.442764,103.884544,95.357765,94.806793,94.366898,70.594604,92.299660,126.816490,60.663177,85.744354,109.753609,17.254095,84.827774,119.764877,4.530668,86.306725,129.138214,1.493834,69.353157,129.423065,0.000000,81.000000,76.000000,0.000000,69.361374,129.997879,1.164119,69.361374,129.997879,1.164119,0.008217,0.574814,1.164119,62.190811,13.558305,17.922461
1966,58.564381,106.482010,92.118797,60.079273,94.347206,68.637657,59.699566,118.001694,52.947140,54.765663,79.377106,21.268167,57.229614,67.532913,7.175931,56.394405,66.675697,2.282773,88.381447,103.742462,95.601044,94.705994,94.290443,70.757179,92.208237,126.674156,60.734818,85.762299,109.418182,17.323004,84.807854,119.300575,4.513141,86.372963,128.654587,1.577357,75.657379,128.582092,0.000000,81.000000,76.000000,0.000000,75.647499,129.297913,1.340730,75.647499,129.297913,1.340730,-0.009880,0.715821,1.340730,70.498383,7.163001,20.149948
1967,58.568634,106.281387,92.337692,60.072586,94.205490,68.787628,59.529591,117.692497,53.102604,54.698246,78.997261,21.449711,57.204426,67.154724,7.367852,56.385471,66.233437,2.341598,88.324516,103.616226,95.805977,94.572350,94.178375,70.926270,92.217224,126.477615,60.944450,85.796684,109.041245,17.405861,84.804649,118.841896,4.484589,86.246582,128.171249,1.471252,58.614258,133.097336,0.000000,81.000000,76.000000,0.000000,58.561676,133.750885,1.053577,58.561676,133.750885,1.053577,-0.052582,0.653540,1.053577,60.156464,23.585104,16.370953
1968,58.619629,106.087852,92.540894,59.952721,94.042633,69.011505,59.386143,117.339394,53.233673,54.671993,78.584831,21.642172,57.190231,66.745781,7.508144,56.380848,65.839409,2.401295,88.258804,103.475914,96.012619,94.427246,94.036270,71.072693,91.954582,126.189697,60.959072,85.827454,108.660683,17.440361,84.864471,118.380722,4.496771,86.440475,127.702225,1.608723,77.525490,123.690376,0.000000,81.000000,76.000000,0.000000,77.523949,124.425194,1.289293,77.523949,124.425194,1.289293,-0.001545,0.734819,1.289293,61.486874,4.479655,18.471245
1969,58.378555,105.774605,92.762077,59.855164,93.836075,69.173187,59.211525,117.027481,53.342831,54.635036,78.144775,21.839167,57.184422,66.376915,7.671539,56.369987,65.445259,2.470802,88.198387,103.372971,96.198044,94.328636,93.906998,71.218468,91.896591,126.020660,61.039238,85.883957,108.242615,17.464388,84.824570,117.925941,4.453313,86.284416,127.277679,1.478179,73.909164,113.331833,0.000000,81.000000,76.000000,0.000000,73.829025,113.920631,1.355581,73.829025,113.920631,1.355581,-0.080138,0.588799,1.355581,50.606308,9.612191,14.378736
1970,58.369118,105.606049,92.931213,59.803078,93.645988,69.284103,59.012249,116.732468,53.497841,54.576015,77.738655,22.062677,57.173939,66.031891,7.839368,56.384003,65.040962,2.552510,88.127983,103.244370,96.336937,94.239845,93.771851,71.358551,91.755760,125.786575,61.081711,85.943283,107.861496,17.469976,84.841949,117.493134,4.426340,86.291687,126.822273,1.437246,50.481831,128.697723,0.000000,81.000000,76.000000,0.000000,50.422939,129.200699,0.985696,50.422939,129.200699,0.985696,-0.058891,0.502967,0.985696,51.943966,30.081648,19.920893
1971,58.345100,105.397469,93.099411,59.783745,93.377167,69.498535,58.805733,116.415398,53.626625,54.509018,77.363930,22.238626,57.158859,65.651573,8.007628,56.368805,64.645737,2.615296,88.073235,103.116280,96.442986,94.165222,93.662338,71.425194,91.563660,125.626823,61.070011,85.957130,107.457550,17.454634,84.897812,117.041214,4.394261,86.295250,126.390068,1.472546,61.969219,125.884109,0.000000,81.000000,76.000000,0.000000,61.846157,126.583466,1.234269,61.846157,126.583466,1.234269,-0.123059,0.699356,1.234269,61.570412,23.489101,19.047716
1972,58.242340,105.197235,93.289177,59.787670,93.234146,69.639488,58.565250,116.145264,53.751877,54.391632,76.966980,22.423754,57.065456,65.268219,8.158477,56.348824,64.209686,2.664258,88.003998,103.019859,96.521484,94.100662,93.575729,71.486214,91.570686,125.481018,61.212326,85.978943,107.064812,17.459229,84.869797,116.598915,4.382160,86.272873,125.897629,1.444367,58.192856,117.082695,0.000000,81.000000,76.000000,0.000000,58.127903,117.725876,1.355869,58.127903,117.725876,1.355869,-0.064955,0.643184,1.355869,55.702751,30.923492,13.357914
1973,58.217319,105.020493,93.405228,59.670444,93.031784,69.803230,58.389191,115.864616,53.859921,54.264912,76.614891,22.573362,57.059711,64.879753,8.262070,56.303246,63.848686,2.749847,87.967850,102.953964,96.635139,94.013123,93.491814,71.579536,91.435822,125.323227,61.189869,86.025116,106.718353,17.525564,84.871811,116.143402,4.359143,86.373398,125.454605,1.503461,51.891106,131.787216,0.000000,81.000000,76.000000,0.000000,51.794964,132.516846,1.212289,51.794964,132.516846,1.212289,-0.096142,0.729639,1.212289,67.630219,35.288383,29.737112
1974,58.141537,104.915215,93.538803,59.611465,92.927444,69.939316,58.226295,115.582367,53.937328,54.176140,76.281769,22.746115,57.005096,64.523125,8.433890,56.253788,63.445251,2.823899,87.907715,102.916603,96.723114,93.918808,93.434052,71.686783,91.275589,125.137848,61.191414,86.053024,106.301025,17.548109,84.952835,115.725769,4.389911,86.322456,124.990067,1.464516,68.109299,121.527382,0.000000,81.000000,76.000000,0.000000,68.081757,122.192764,1.258396,68.081757,122.192764,1.258396,-0.027544,0.665383,1.258396,57.291489,16.221603,22.597540
1975,58.096008,104.823242,93.662872,59.544689,92.809418,70.065643,58.063240,115.464844,54.050072,54.105583,75.995491,22.934269,56.968811,64.206665,8.632319,56.213135,63.085464,2.914610,87.875641,102.874046,96.835625,93.799599,93.387657,71.790611,91.243172,125.075279,61.231071,86.096153,105.983200,17.617519,84.907005,115.278145,4.339439,86.297272,124.557716,1.443467,62.825027,130.660797,0.000000,81.000000,76.000000,0.000000,62.851746,131.364563,1.245252,62.851746,131.364563,1.245252,0.026720,0.703762,1.245252,68.066460,22.632414,11.543882
