Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
0.31000000	0.25114830	0.08571955	0.07131458	0.52583323	0.26738165	0.04350219
0.31100000	0.25247569	0.08641175	0.07179037	0.52975745	0.26181328	0.04350177
0.31200000	0.25388154	0.08706619	0.07226692	0.53384131	0.25632736	0.04350612
0.31300000	0.25535675	0.08768231	0.07274296	0.53807572	0.25092801	0.04351572
0.31400000	0.25689184	0.08825961	0.07321717	0.54245067	0.24561892	0.04353108
0.31500000	0.25847704	0.08879769	0.07368819	0.54695525	0.24040337	0.04355269
0.31600000	0.26010229	0.08929623	0.07415461	0.55157765	0.23528424	0.04358108
0.31700000	0.26175726	0.08975496	0.07461497	0.55630524	0.23026397	0.04361675
0.31800000	0.26343142	0.09017371	0.07506780	0.56112453	0.22534461	0.04366023
0.31900000	0.26511406	0.09055237	0.07551158	0.56602126	0.22052780	0.04371206
0.32000000	0.26679435	0.09089091	0.07594474	0.57098039	0.21581481	0.04377278
0.32100000	0.26846137	0.09118936	0.07636573	0.57598619	0.21120651	0.04384293
0.32200000	0.27010412	0.09144780	0.07677293	0.58102225	0.20670342	0.04392307
0.32300000	0.27171163	0.09166640	0.07716472	0.58607157	0.20230570	0.04401376
0.32400000	0.27327294	0.09184536	0.07753948	0.59111657	0.19801319	0.04411559
0.32500000	0.27477717	0.09198495	0.07789556	0.59613916	0.19382537	0.04422912
0.32600000	0.27621358	0.09208549	0.07823133	0.60112084	0.18974146	0.04435496
0.32700000	0.27757157	0.09214734	0.07854515	0.60604273	0.18576035	0.04449370
